title,genres,image,description,youtube_url,published_year,actors,director
มนต์รักลูกทุ่ง,"คอมเมดี้, โรแมนติก",,"มนต์รักลูกทุ่ง เป็นภาพยนตร์ไทยที่สร้างมาจากบทประพันธ์เรื่อง ""มนต์รักลูกทุ่ง"" ของ รังสี ทัศนพยัคฆ์ โดยใช้นามแฝงว่า ""มหศักดิ์ สารากร"" โดยมิตร ชัยบัญชา มีส่วนร่วมในเนื้อเรื่องด้วย คู่พระ-นาง คือไอ้คล้าว กับ ทองกวาว รับบทโดย มิตร ชัยบัญชา กับเพชรา เชาวราษฎร์ ส่วนคู่รอง คือแว่น กับบุปผา รับบทโดย ศรีไพร ใจพระ กับบุปผา สายชล",0TDEMqr94-M,,,
ขุนศึก,"ดราม่า, แอ็คชั่น, ผจญภัย ",,"""ไอ้เสมา""ช่างตีเหล็กหนุ่มที่มีฝีมือทั้งในเชิงช่างและการรบ เขาตั้งใจจะเข้าเป็นทหารแต่ก็ต้องผ่านการพิสูจน์อะไรหลายอย่าง",tdM-_aLt2Ic,,,
เมนูของพ่อ,อาหาร,,ในการแข่งขันทำอาหารรายการหนึ่ง มีผู้ผ่านเข้ารอบ 3 คน โดยแต่ละคนก็ผ่านอะไรมาหลายอย่างกว่าที่จะมายืนอยู่ตรงจุดนี้ได้ ,HQmW2tpi6zo,,,
ยายสั่งมาใหญ่,"ดราม่า, คอมเมดี้",,ความสนุกสนานของสองพี่น้องที่มีความต่างกันอย่างสุดๆแต่ก็นำมาซึ่งความสนุกสนาน,38sX7i98yek,,,
โลงจำนำ,"ระทึกขวัญ, สยองขวัญ",,"เหตุการณ์แปลกประหลาดเกิดขึ้น เมื่อ ""หนึ่ง"" ตัดสินใจจำนำตัวเอง เพื่อหาเงินมาช่วยครอบครัว อะไร??จะเกิดขึ้นกับเขา",h2k82XG18kY,,,
นางตะเคียน,"ระทึกขวัญ, สยองขวัญ",,เรื่องราวของสาวคนหนึ่งที่ชื่อ ใยบัว เป็นสาวบ้านนอกเข้ากรุงมาหางานทำในเมืองหลวงในอาชีพสาวโรงงาน จนได้มารู้จักกับหนุ่มหล่อคนหนึ่ง ทั้งสองคนรักกันมาก คบกันสักพักจนตกลงมีอะไรกันในที่สุด มันคงจะไม่มีเรื่องอะไรถ้าฝ่ายชายไม่หยิบมือถือขึ้นมาถ่ายคลิประหว่างมีเซ็กส์  เพื่อเอาไปอวดเพื่อนที่ทำงาน อวดไปอวดมา..จนคลิปหลุดเผยแพร่ไปทั่ว!! ทราบเรื่องไปถึงแฟนสาวใยบัว ใยบัวเครียดมาก อับอายและโกรธแฟนเป็นที่สุด ซึมเศร้าอย่างแรง อีกทั้งโรงงานยังปิดตัวทำให้ต้องตกงานกะทันหัน ใยบัวทนรับความเสียใจไม่ไหวเลยหอบผ้าหอบผ่อนกลับบ้านตัวเองที่ต่างจังหวัดเพื่อไปอาศัยทำใจกับครอบครัว กลับไปบ้านแทนที่จะสบายอกสบายใจก็ต้องมาช็อกอีกรอบเพราะพ่อแม่และน้องสาวก็เสียชีวิตไปหมดแล้ว ตอนนี้ใยบัวเหลือแค่ตัวคนเดียว ไร้ซึ่งทางออกเลยตัดสินใจเอาเชือกไปผูกคอตายใต้ต้นตะเคียนหลังวัด กลายเป็นผีตายโหงหลอกหลอนผู้คนในหมู่บ้านจนขนหัวลุก,4yzkWjDvgJw,,,
ชอบกด Like ใช่กด Love ,"คอมเมดี้, โรแมนติก",,"""ชอบกด LIKE ใช่กด LOVE"" เรื่องราวความรักในยุค facebook เบ่งบาน...เชื่อไหมว่า ทุกอย่างที่ผ่านเข้ามาในชีวิตแล้วมาตกอยู่ตรงหน้าคุณนี่...จะต้องมีเรื่องของการตัดสินใจ ""เลือก"" บางสิ่งที่เหมาะกับตัวคุณเสมอ เช่น ตั้งแต่ตื่นเช้าขึ้นมา..ตัดสินใจว่าจะลุกขึ้นจากเตียงเลยหรือนอนต่อดี...อาบน้ำแล้ว..จะใส่เสื้อผ้า รองเท้าคู่ไหนดีนะ..จะขึ้นรถเมล์ไปทำงานหรือไปด้วยแท๊กซี่ดี ฯลฯ ....ดูมันอาจจะเป็นเรื่องง่ายๆ ที่คุณอาจจะบอกว่าไม่เห็นมีอะไรต้องคิดมากเลย ...ซึ่งมันคือความเคยชิน หรือบางทีการกระทำบางอย่างที่ทำไปโดยอัตโนมัติตามความรู้สึกของแต่ละคน นั่นก็คือการออกแบบทางเลือกของเราไว้ล่วงหน้า หรือเรามีประสบการณ์นั้นๆ มาแล้ว จึงเลือกในสิ่งที่ดีที่สุดสำหรับตัวเอง...แต่ทั้งหมดคือการตัดสินใจที่จะเลือกในแบบของคุณเองแล้วนะ",neqhXolXiaI,,,
บ้านผีปอบ 2008,คอมเมดี้,,"ปอบหยิบกลับมาอีกครั้ง จากการปลุกขึ้นมาของหมอคล้าย (กลศ อัทธเสรี) สร้างความอลหม่านให้ชาวบ้านไปทั่วในรอบ 14 ปี ภาคนี้นับเป็นภาคที่ 14 ของ Series บ้านผีปอบ, กล้วยเชิญยิ้ม กลับมาแสดงอีกครั้ง, รวิช ไรวินท์ แจ็ค เชิญยิ้ม และ สมเจต พยัฆโส ร่วมแสดงอยู่ในแก๊งค์วิ่งหนีผีปอบด้วย
",a68N2257JJI,,,
บุปผาราตรี 1,"ระทึกขวัญ, สยองขวัญ, คอมเมดี้",,เจ๊สี่ เจ้าของกิจการอพาร์ทเมนท์ ที่มีธุรกิจเข้าทรงเป็นอาชีพเสริม พออยู่มาวันหนึ่ง อพาร์ทเมนท์ของเจ๊สี่เกิดมีผีสาวปรากฏกายขึ้น จนเป็นที่หวาดผวาต่อบรรดาผู้เช่าห้องพักทั้งหลาย ร้อนถึงเจ๊สี่ ที่ต้องตามหมอผีที่ว่าเก่งมากำจัด แต่ก็ยังโดนผีสาวเล่นงานจนเตลิดเปิดเปิง สร้างความหวาดผวาต่อผู้เช่าอพาร์เมนท์ที่เหลือเป็นอย่างยิ่ง เป็นผลให้กิจการห้องเช่าของเจ๊สี่ทำท่าจะไปไม่รอด,93kXpqXB-aY,,,
บุปผาราตรี 2,"ระทึกขวัญ, สยองขวัญ, คอมเมดี้",,พวกโจรออกค้นหาทุกซอกทุกมุมในอพาร์ทเมนต์ เหลืออยู่แต่เพียงชั้น 6 ที่เจ้าของอพาร์ทเมนต์ปิดตายไว้ห้ามไม่ให้ใครเข้า โจรทั้งสี่ไม่ฟังคำเตือน ออกค้นหาเงินในชั้น 6 จนได้พบว่าเงินซ่อนอยู่ในห้อง 609 แต่พวกเขาก็ไม่สามารถนำเงินออกจากห้องนั้นได้เพราะถูกผีเจ้าของห้องออกมาหลอกหลอน โจรทั้งสี่จึงต้องคิดหาวิธีเอาเงินออกจากห้อง 609 ให้เร็วที่สุดเท่าที่จะทำได้ แม้จะกลัวผีเพียงไรก็ตาม ขณะเดียวกัน ตำรวจก็เริ่มระแคะระคาย แกะรอยโจรทั้งสี่มาถึงอพาร์ทเมนต์แล้ว...,Cl-rVDP03Cw,,,
ฟัด จัง โตะ,"คอมเมดี้, โรแมนติก",,ก๊อป (ปกรณ์ ฉัตรบริรักษ์) ผู้ชายห่วย ๆ ที่ทำอะไรไม่ค่อยได้เรื่องได้ราวซักเท่าไหร่ มีอาชีพเป็นนักออกแบบผลิตภัณฑ์ ที่มักจะมีไอเดียไม่ได้เรื่องไปเสนอเจ้านายอยู่บ่อย ๆ เวลาที่รู้สึกแย่ ๆ ก็ต้องการใครซักคนที่จะมาช่วยฟังปัญหาของเขา แก๊ป (อริย์กันตา มหาพฤกษ์พงศ์) หญิงสาวที่ชอบพูดแต่เรื่องของตัวเอง ไม่ค่อยฟังใคร ชอบพูดจาเอะอะโวยวาย มีอาชีพเป็นแดนเซอร์ และมีความใฝ่ฝันว่าครั้งหนึ่งจะต้องไปเหยียบแผ่นดินญี่ปุ่น แก๊ป ชอบทุกสิ่งที่เป็นญี่ปุ่น ฟังเพลงญี่ปุ่น อ่านการ์ตูนญี่ปุ่น และกินอาหารญี่ปุ่น พอรู้ข่าวว่ามีการชิงโชคไพรเวททัวร์ไปคู่เดียวเที่ยวญี่ปุ่น แก๊ป เลยไม่รอช้าที่จะล่ารางวัล,5AH7iZE8BbE,,,
สุดเขตสเล็ดเป็ด,"คอมเมดี้, โรแมนติก",,สุดเขต (อารักษ์ อมรศุภศิริ) ชายหนุ่มหน้าตาธรรมดาที่นิสัยไม่ธรรมดา ชอบทำตามความต้องการของตัวเอง ไม่ต้องการพื้นที่ในสังคม มะยม (รมิดา มหาพฤกษ์พงศ์) สาวหมวยหน้าตาธรรมดา ชอบทำตัวน่ารัก และบริหารเสน่ห์ให้หนุ่มๆ รอบตัวเสมอ ทั้งคู่มาเจอกันบนความต่างที่แสนจะลงตัว,qZBhrChkhZk,,,
